Time,Watt,Temp,Vin,Vout
00:00:47,136.0,21.9,101.7,99.9
00:01:47,136.0,21.7,101.9,99.9
00:02:48,128.0,21.5,101.9,100.0
00:03:48,136.0,21.3,102.1,99.9
00:04:49,136.0,21.1,101.8,99.9
00:05:49,128.0,21.0,102.0,99.9
00:06:50,136.0,21.0,102.0,99.9
00:07:50,120.0,21.2,102.1,99.9
00:08:51,136.0,21.5,101.9,99.9
00:09:51,136.0,21.8,102.4,99.9
00:10:52,120.0,22.2,102.4,99.9
00:11:53,128.0,22.4,102.2,99.9
00:12:53,128.0,22.6,102.3,99.9
00:13:54,120.0,22.8,102.4,99.9
00:14:54,120.0,23.0,102.6,99.9
00:15:55,128.0,23.1,102.4,99.9
00:16:55,128.0,22.9,102.1,99.9
00:17:56,128.0,22.7,102.3,99.9
00:18:56,128.0,22.4,102.3,99.9
00:19:57,128.0,22.2,102.2,99.9
00:20:57,120.0,21.9,102.2,99.9
00:21:58,120.0,21.7,102.2,99.9
00:22:58,136.0,21.5,102.2,99.9
00:23:59,120.0,21.3,102.3,99.9
00:24:59,128.0,21.0,102.4,99.9
00:26:00,136.0,20.9,102.2,99.9
00:27:00,120.0,20.9,102.2,99.9
00:28:01,120.0,21.0,102.5,99.9
00:29:01,128.0,21.3,102.4,99.9
00:30:02,128.0,21.6,101.8,99.9
00:31:02,120.0,22.0,101.6,99.9
00:32:03,120.0,22.3,101.9,99.9
00:33:03,120.0,22.4,102.5,99.9
00:34:04,120.0,22.7,102.6,99.9
00:35:04,120.0,22.9,102.6,99.9
00:36:05,128.0,22.9,102.5,99.9
00:37:05,128.0,22.8,102.8,99.9
00:38:06,120.0,22.6,102.9,99.9
00:39:06,120.0,22.4,102.7,99.9
00:40:07,128.0,22.1,102.5,99.9
00:41:07,136.0,21.9,102.8,99.9
00:42:08,144.0,21.7,102.8,99.9
00:43:08,128.0,21.6,102.7,99.9
00:44:09,128.0,21.4,102.6,99.9
00:45:09,128.0,21.2,102.4,99.9
00:46:10,136.0,21.0,102.6,99.9
00:47:11,136.0,20.9,102.5,99.9
00:48:11,136.0,21.0,102.6,99.9
00:49:12,136.0,21.2,100.9,99.9
00:50:12,136.0,21.6,100.5,99.9
00:51:13,144.0,21.9,100.8,99.9
00:52:13,128.0,22.1,100.9,99.9
00:53:14,144.0,22.4,100.7,99.9
00:54:14,136.0,22.7,100.7,99.9
00:55:15,128.0,22.9,100.9,99.9
