Time,Watt,Temp,Vin,Vout
00:00:24,120.0,21.0,102.5,99.9
00:01:24,120.0,21.2,102.4,99.9
00:02:25,120.0,21.6,102.3,99.9
00:03:25,128.0,21.9,102.6,99.9
00:04:26,120.0,22.3,102.6,99.9
00:05:26,120.0,22.6,102.2,99.9
00:06:27,120.0,22.8,102.1,99.9
00:07:27,128.0,23.1,102.4,99.9
00:08:28,120.0,23.2,102.1,99.9
00:09:28,120.0,23.0,102.4,99.9
00:10:29,120.0,23.0,102.4,99.9
00:11:29,120.0,22.7,102.5,99.9
00:12:30,120.0,22.5,102.6,99.9
00:13:30,128.0,22.3,102.7,99.9
00:14:31,128.0,22.0,102.6,99.9
00:15:31,120.0,21.8,102.1,99.9
00:16:32,120.0,21.6,102.6,100.0
00:17:33,128.0,21.4,102.4,99.9
00:18:33,120.0,21.3,102.2,99.9
00:19:34,120.0,21.1,102.7,99.9
00:20:34,120.0,21.0,102.7,99.9
00:21:35,120.0,21.1,102.8,99.9
00:22:35,120.0,21.6,102.7,100.0
00:23:36,136.0,21.9,102.8,99.9
00:24:36,120.0,22.4,102.7,99.9
00:25:37,120.0,22.6,102.5,99.9
00:26:37,128.0,22.8,102.5,99.9
00:27:38,120.0,22.9,102.3,99.9
00:28:38,128.0,23.0,102.5,99.9
00:29:39,128.0,22.9,102.4,100.0
00:30:39,136.0,22.7,102.3,99.9
00:31:40,120.0,22.5,102.3,99.8
00:32:40,128.0,22.3,102.3,99.9
00:33:41,120.0,22.0,102.2,99.9
00:34:41,128.0,21.8,102.0,99.9
00:35:42,120.0,21.6,102.2,99.9
00:36:42,120.0,21.4,102.6,99.9
00:37:43,120.0,21.3,102.6,99.9
00:38:43,120.0,21.1,102.6,99.9
00:39:44,120.0,21.0,102.7,99.9
00:40:44,120.0,21.1,102.6,99.9
00:41:45,112.0,21.6,102.4,99.9
00:42:45,120.0,21.9,102.4,99.9
00:43:46,120.0,22.2,102.4,99.9
00:44:46,136.0,22.5,102.3,99.9
00:45:47,128.0,22.8,102.1,99.9
00:46:47,120.0,23.1,102.1,99.9
00:47:48,112.0,23.3,101.9,99.9
00:48:48,120.0,23.2,102.1,99.9
00:49:49,120.0,23.0,102.4,99.9
00:50:49,128.0,22.8,102.4,99.9
00:51:50,128.0,22.6,102.7,99.9
00:52:51,120.0,22.4,103.0,99.9
00:53:51,128.0,22.1,103.0,99.9
00:54:52,120.0,21.9,102.8,99.9
00:55:52,120.0,21.7,102.7,99.9
