Time,Watt,Temp,Vin,Vout
00:00:29,144.0,21.7,101.9,99.9
00:01:29,152.0,22.2,102.0,99.9
00:02:30,136.0,22.5,102.1,99.9
00:03:30,136.0,22.8,102.1,99.9
00:04:31,136.0,23.1,102.0,99.9
00:05:31,144.0,23.1,102.3,99.9
00:06:32,128.0,23.2,102.3,99.9
00:07:32,128.0,23.1,102.4,99.9
00:08:33,120.0,22.8,102.2,99.9
00:09:33,120.0,22.6,102.4,99.9
00:10:34,128.0,22.4,102.4,99.9
00:11:34,128.0,22.2,102.2,99.9
00:12:35,128.0,21.9,102.3,99.9
00:13:35,120.0,21.7,102.4,99.9
00:14:36,120.0,21.5,102.4,99.9
00:15:36,128.0,21.3,102.4,99.9
00:16:37,128.0,21.1,102.2,99.9
00:17:37,136.0,21.0,102.2,99.9
00:18:38,120.0,20.9,102.3,99.9
00:19:38,120.0,21.0,102.0,99.9
00:20:39,120.0,21.3,102.0,99.9
00:21:39,128.0,21.6,102.0,99.9
00:22:40,128.0,22.0,102.3,99.9
00:23:40,120.0,22.5,102.2,99.9
00:24:41,120.0,22.8,102.4,100.0
00:25:42,128.0,23.0,102.0,99.8
00:26:42,120.0,23.2,102.4,99.9
00:27:43,120.0,22.9,102.1,99.9
00:28:43,128.0,22.7,102.0,99.9
00:29:44,128.0,22.5,101.9,99.9
00:30:44,128.0,22.3,101.8,99.9
00:31:45,128.0,22.1,101.9,99.9
00:32:45,120.0,21.9,101.8,99.9
00:33:46,128.0,21.7,101.8,99.9
00:34:46,128.0,21.5,101.7,99.9
00:35:47,120.0,21.3,101.6,99.9
00:36:47,120.0,21.1,101.7,99.9
00:37:48,120.0,20.9,101.7,99.9
00:38:48,120.0,20.8,101.9,99.9
00:39:49,120.0,20.9,101.8,99.9
00:40:49,120.0,21.2,101.7,99.9
00:41:50,128.0,21.7,101.9,99.9
00:42:50,120.0,22.1,101.9,99.9
00:43:51,112.0,22.5,101.7,99.9
00:44:51,128.0,22.8,101.7,99.9
00:45:52,128.0,23.1,101.6,99.9
00:46:52,120.0,23.2,101.8,99.9
00:47:53,120.0,23.1,102.0,99.9
00:48:53,128.0,23.0,102.1,99.9
00:49:54,144.0,22.8,102.0,99.9
00:50:54,120.0,22.6,102.0,99.9
00:51:55,128.0,22.3,102.1,99.9
00:52:55,136.0,22.1,102.0,99.9
00:53:56,120.0,21.9,101.9,99.9
00:54:57,120.0,21.6,102.5,99.9
00:55:57,128.0,21.4,102.4,99.9
00:56:58,120.0,21.3,102.2,99.9
00:57:58,120.0,21.1,102.0,99.9
00:58:59,136.0,20.9,102.0,99.9
00:59:59,120.0,20.9,101.9,99.8
01:01:00,128.0,21.2,101.8,99.9
01:02:00,136.0,21.6,101.8,99.9
01:03:01,120.0,22.0,101.9,99.9
01:04:01,128.0,22.4,102.1,99.9
01:05:02,120.0,22.7,101.8,99.9
01:06:02,120.0,23.0,101.7,99.9
01:07:03,128.0,23.2,101.8,99.9
01:08:03,120.0,23.2,102.1,99.9
01:09:04,120.0,23.1,102.1,99.9
01:10:04,120.0,22.9,102.0,99.9
01:11:05,120.0,22.6,101.9,99.9
01:12:05,120.0,22.4,102.3,99.9
01:13:06,128.0,22.2,102.4,99.9
01:14:06,120.0,21.9,102.3,99.9
01:15:07,120.0,21.7,102.3,99.9
01:16:07,128.0,21.6,102.0,99.9
01:17:08,120.0,21.3,102.6,99.9
01:18:08,120.0,21.2,102.6,99.9
01:19:09,128.0,21.0,102.6,99.9
01:20:09,128.0,20.9,102.4,99.9
01:21:10,128.0,20.9,102.3,99.9
01:22:10,128.0,21.2,102.2,99.9
01:23:11,120.0,21.5,102.4,99.9
01:24:12,120.0,21.9,102.4,99.9
01:25:12,128.0,22.4,102.3,99.9
01:26:13,120.0,22.8,102.2,99.9
01:27:13,120.0,22.8,102.3,99.9
01:28:14,120.0,22.9,102.3,99.9
01:29:14,120.0,22.8,102.2,99.9
01:30:15,128.0,22.7,102.0,99.9
01:31:15,136.0,22.5,101.8,99.9
01:32:16,120.0,22.3,101.7,99.9
01:33:16,136.0,22.1,101.3,99.9
01:34:17,120.0,21.9,101.4,99.9
01:35:17,128.0,21.7,101.2,99.9
01:36:18,120.0,21.4,101.4,99.9
01:37:18,128.0,21.3,101.4,99.9
01:38:19,120.0,21.1,101.5,99.9
01:39:19,128.0,20.9,101.5,99.9
