timestamp,Watt,Temp,Vin,Vout
2026-01-27T00:00:53.163826,136.0,22.1,100.9,99.9
2026-01-27T00:01:53.583830,136.0,21.8,100.8,99.9
2026-01-27T00:02:54.000071,144.0,21.6,100.9,99.9
2026-01-27T00:03:54.418808,144.0,21.3,101.0,99.9
2026-01-27T00:04:54.836824,136.0,21.1,101.2,99.9
2026-01-27T00:05:55.254244,128.0,20.8,101.2,99.9
2026-01-27T00:06:55.671997,144.0,20.6,101.3,99.9
2026-01-27T00:07:56.092505,128.0,20.5,101.3,99.9
2026-01-27T00:08:56.531375,136.0,20.5,101.4,99.9
2026-01-27T00:09:56.949154,128.0,20.5,101.2,99.9
2026-01-27T00:10:57.365954,120.0,20.9,101.2,99.9
2026-01-27T00:11:57.784106,128.0,21.3,101.3,99.9
2026-01-27T00:12:58.201789,120.0,21.5,101.4,99.9
2026-01-27T00:13:58.619778,120.0,21.8,101.3,99.9
2026-01-27T00:14:59.038663,120.0,22.1,101.4,99.9
2026-01-27T00:15:59.477951,120.0,22.3,101.3,99.9
2026-01-27T00:16:59.895743,120.0,22.4,101.2,99.9
2026-01-27T00:18:00.314169,120.0,22.3,101.2,99.9
2026-01-27T00:19:00.733251,120.0,22.1,101.3,99.9
2026-01-27T00:20:01.153364,120.0,21.9,101.2,99.9
2026-01-27T00:21:01.570625,128.0,21.6,101.1,99.9
2026-01-27T00:22:01.986482,112.0,21.3,101.2,99.9
2026-01-27T00:23:02.404585,120.0,21.1,101.1,99.9
2026-01-27T00:24:02.823250,120.0,20.9,101.1,99.9
2026-01-27T00:25:03.242142,120.0,20.6,100.8,99.9
2026-01-27T00:26:03.662543,120.0,20.3,100.6,99.9
2026-01-27T00:27:04.082580,120.0,20.2,100.8,99.9
2026-01-27T00:28:04.499992,120.0,20.2,101.1,99.9
2026-01-27T00:29:04.918666,112.0,20.4,100.8,99.9
2026-01-27T00:30:05.339747,120.0,20.7,100.9,99.9
2026-01-27T00:31:05.776328,120.0,21.0,101.2,100.0
2026-01-27T00:32:06.194304,128.0,21.4,101.3,99.9
2026-01-27T00:33:06.613200,120.0,21.6,101.3,99.9
2026-01-27T00:34:07.031422,120.0,21.9,101.4,99.9
2026-01-27T00:35:07.452469,120.0,22.1,101.4,99.9
2026-01-27T00:36:07.868585,120.0,22.2,101.2,99.9
